Window,F1-Score,Precision,Recall,Buy_Precision,Buy_Recall,Buy_F1-Score,Buy_Support,Hold_Precision,Hold_Recall,Hold_F1-Score,Hold_Support,Sell_Precision,Sell_Recall,Sell_F1-Score,Sell_Support
window_1,0.4138735416752189,0.37503623906300043,0.4625228519195612,0.41338582677165353,0.546875,0.47085201793721976,192.0,0.5051194539249146,0.5943775100401606,0.5461254612546126,249.0,0.0,0.0,0.0,106.0
window_2,0.4191980108407207,0.40792256814114575,0.45521023765996343,0.410958904109589,0.32432432432432434,0.36253776435045315,185.0,0.5097493036211699,0.7038461538461539,0.5912762520193862,260.0,0.14285714285714285,0.058823529411764705,0.08333333333333333,102.0
window_3,0.4362319554888475,0.432744528686427,0.4405850091407678,0.37790697674418605,0.3651685393258427,0.37142857142857144,178.0,0.5400696864111498,0.5740740740740741,0.5565529622980251,270.0,0.23863636363636365,0.21212121212121213,0.22459893048128343,99.0
window_4,0.42076720656282796,0.4063352750842981,0.44789762340036565,0.37209302325581395,0.3657142857142857,0.3688760806916426,175.0,0.5239520958083832,0.6433823529411765,0.5775577557755776,272.0,0.14634146341463414,0.06,0.0851063829787234,100.0
window_5,0.3713763590159353,0.4359581186637859,0.37294332723948814,0.36,0.5789473684210527,0.4439461883408072,171.0,0.5642857142857143,0.28214285714285714,0.3761904761904762,280.0,0.19696969696969696,0.2708333333333333,0.22807017543859648,96.0
window_6,0.41779771958635487,0.4120052325481147,0.4405850091407678,0.37037037037037035,0.5113636363636364,0.4295942720763723,176.0,0.532608695652174,0.5345454545454545,0.5335753176043557,275.0,0.14285714285714285,0.041666666666666664,0.06451612903225806,96.0
window_7,0.4079704247097908,0.45995583242437743,0.40219378427787933,0.34558823529411764,0.5562130177514792,0.42630385487528344,169.0,0.6114285714285714,0.3715277777777778,0.46220302375809935,288.0,0.19,0.2111111111111111,0.2,90.0
window_8,0.46641247472604225,0.45363684642648483,0.4936014625228519,0.4155844155844156,0.3764705882352941,0.3950617283950617,170.0,0.5621468926553672,0.6933797909407665,0.6209048361934477,287.0,0.1794871794871795,0.07777777777777778,0.10852713178294573,90.0
window_9,0.4485310411675194,0.45238407760660654,0.4680073126142596,0.35471698113207545,0.5838509316770186,0.4413145539906103,161.0,0.6145038167938931,0.5313531353135313,0.5699115044247788,303.0,0.05,0.012048192771084338,0.019417475728155338,83.0
window_10,0.4522127303176685,0.44644380344884793,0.4606946983546618,0.37305699481865284,0.42857142857142855,0.3988919667590028,168.0,0.574750830564784,0.5824915824915825,0.5785953177257525,297.0,0.1320754716981132,0.08536585365853659,0.1037037037037037,82.0
window_11,0.42112632622364854,0.45159488974786494,0.42413162705667273,0.3563636363636364,0.5868263473053892,0.4434389140271493,167.0,0.6047619047619047,0.43197278911564624,0.503968253968254,294.0,0.11290322580645161,0.08139534883720931,0.0945945945945946,86.0
window_12,0.3489594249891056,0.3933260571002392,0.36745886654478976,0.3283582089552239,0.6285714285714286,0.43137254901960786,175.0,0.5185185185185185,0.3010752688172043,0.38095238095238093,279.0,0.14,0.07526881720430108,0.0979020979020979,93.0
window_13,0.40879582887090976,0.43602842450060764,0.40950639853747717,0.34444444444444444,0.543859649122807,0.4217687074829932,171.0,0.5776699029126213,0.41901408450704225,0.4857142857142857,284.0,0.16901408450704225,0.13043478260869565,0.147239263803681,92.0
window_14,0.3944771455319395,0.39832050933818597,0.44972577696526506,0.3137254901960784,0.0935672514619883,0.14414414414414414,171.0,0.5317073170731708,0.7649122807017544,0.6273381294964029,285.0,0.13953488372093023,0.13186813186813187,0.13559322033898305,91.0
window_15,0.3133974177010377,0.4394609454867882,0.3546617915904936,0.3394736842105263,0.7818181818181819,0.47339449541284406,165.0,0.5795454545454546,0.17586206896551723,0.2698412698412698,290.0,0.17721518987341772,0.15217391304347827,0.16374269005847952,92.0
window_16,0.4745271392333061,0.44140544878940563,0.5137111517367459,0.375609756097561,0.47530864197530864,0.4196185286103542,162.0,0.6,0.6777408637873754,0.6365054602184087,301.0,0.0,0.0,0.0,84.0
window_17,0.46973792914212864,0.4381966696018841,0.506398537477148,0.3468208092485549,0.379746835443038,0.36253776435045315,158.0,0.5945205479452055,0.6977491961414791,0.6420118343195266,311.0,0.0,0.0,0.0,78.0
window_18,0.4514968244407884,0.474469942553335,0.453382084095064,0.35714285714285715,0.16233766233766234,0.22321428571428573,154.0,0.6104651162790697,0.6481481481481481,0.6287425149700598,324.0,0.09774436090225563,0.18840579710144928,0.12871287128712872,69.0
window_19,0.4327344582595235,0.41959468497792834,0.45521023765996343,0.3073170731707317,0.39375,0.3452054794520548,160.0,0.5640243902439024,0.5967741935483871,0.5799373040752351,310.0,0.07142857142857142,0.012987012987012988,0.02197802197802198,77.0
window_20,0.42224926424721915,0.4140822190681781,0.45521023765996343,0.2948717948717949,0.14556962025316456,0.19491525423728814,158.0,0.5592783505154639,0.7114754098360656,0.6262626262626263,305.0,0.1111111111111111,0.10714285714285714,0.10909090909090909,84.0
window_21,0.4409309668947942,0.43431044261978957,0.46983546617915906,0.39814814814814814,0.25443786982248523,0.3104693140794224,169.0,0.5452127659574468,0.7093425605536332,0.6165413533834586,289.0,0.14285714285714285,0.10112359550561797,0.11842105263157894,89.0
window_22,0.4468960071618351,0.44839106530883366,0.48080438756855576,0.36796536796536794,0.5151515151515151,0.4292929292929293,165.0,0.5691318327974276,0.6040955631399317,0.5860927152317881,293.0,0.2,0.011235955056179775,0.02127659574468085,89.0
window_23,0.45546070656580956,0.4383326542566213,0.4990859232175503,0.41044776119402987,0.3235294117647059,0.3618421052631579,170.0,0.5468354430379747,0.7346938775510204,0.6269956458635704,294.0,0.1111111111111111,0.024096385542168676,0.039603960396039604,83.0
window_24,0.43641975808211025,0.45723273174098267,0.44972577696526506,0.34220532319391633,0.5521472392638037,0.4225352112676056,163.0,0.5747126436781609,0.5,0.5347593582887701,300.0,0.2608695652173913,0.07142857142857142,0.11214953271028037,84.0
window_25,0.43013319332488864,0.4054583268787602,0.46617915904936014,0.3433734939759036,0.3475609756097561,0.34545454545454546,164.0,0.5426997245179064,0.6655405405405406,0.5978755690440061,296.0,0.05555555555555555,0.011494252873563218,0.01904761904761905,87.0
window_26,0.43439088148577454,0.3948175657324799,0.4990859232175503,0.3435114503816794,0.2710843373493976,0.30303030303030304,166.0,0.5480769230769231,0.7862068965517242,0.6458923512747875,290.0,0.0,0.0,0.0,91.0
window_27,0.446858712846011,0.43928765453469876,0.4954296160877514,0.3404255319148936,0.2926829268292683,0.31475409836065577,164.0,0.5597964376590331,0.7534246575342466,0.6423357664233577,292.0,0.23076923076923078,0.03296703296703297,0.057692307692307696,91.0
window_28,0.4361451680060636,0.42175538385068373,0.4826325411334552,0.36607142857142855,0.2411764705882353,0.2907801418439716,170.0,0.543424317617866,0.7551724137931034,0.6320346320346321,290.0,0.125,0.04597701149425287,0.06722689075630252,87.0
window_29,0.48037209607181647,0.47536458898464434,0.5283363802559415,0.42696629213483145,0.23170731707317074,0.30039525691699603,164.0,0.5823389021479713,0.8106312292358804,0.6777777777777778,301.0,0.1794871794871795,0.08536585365853659,0.11570247933884298,82.0
window_30,0.45690318000528374,0.4323389413558666,0.4954296160877514,0.32903225806451614,0.3128834355828221,0.32075471698113206,163.0,0.5793650793650794,0.7156862745098039,0.6403508771929824,306.0,0.07142857142857142,0.01282051282051282,0.021739130434782608,78.0
window_31,0.5121901187201306,0.4984136801051717,0.5338208409506399,0.373015873015873,0.30718954248366015,0.33691756272401435,153.0,0.644808743169399,0.7515923566878981,0.6941176470588235,314.0,0.16363636363636364,0.1125,0.13333333333333333,80.0
window_32,0.43307560780541815,0.47268409210341283,0.5575868372943327,0.47368421052631576,0.057692307692307696,0.10285714285714286,156.0,0.5673076923076923,0.9609120521172638,0.713422007255139,307.0,0.125,0.011904761904761904,0.021739130434782608,84.0
window_33,0.4248157782524355,0.43951442283672737,0.5246800731261426,0.36363636363636365,0.05128205128205128,0.0898876404494382,156.0,0.5603271983640081,0.8925081433224755,0.6884422110552764,307.0,0.1388888888888889,0.05952380952380952,0.08333333333333333,84.0
window_34,0.4833354509898549,0.4669392890870317,0.5155393053016454,0.38620689655172413,0.345679012345679,0.36482084690553745,162.0,0.5956873315363881,0.7342192691029901,0.6577380952380952,301.0,0.16129032258064516,0.05952380952380952,0.08695652173913043,84.0
window_35,0.44380142038168235,0.45030643822834165,0.4405850091407678,0.38636363636363635,0.3128834355828221,0.34576271186440677,163.0,0.5686274509803921,0.5780730897009967,0.5733113673805601,301.0,0.14678899082568808,0.1927710843373494,0.16666666666666666,83.0
window_36,0.4512098605982353,0.44182563008210923,0.5045703839122486,0.37209302325581395,0.20125786163522014,0.2612244897959184,159.0,0.5558139534883721,0.7861842105263158,0.6512261580381471,304.0,0.16129032258064516,0.05952380952380952,0.08695652173913043,84.0
window_37,0.48665989369783225,0.47381251104231037,0.5082266910420475,0.36231884057971014,0.32051282051282054,0.3401360544217687,156.0,0.6010928961748634,0.7028753993610224,0.6480117820324006,313.0,0.18604651162790697,0.10256410256410256,0.1322314049586777,78.0
window_38,0.44313709625491704,0.4450800058184229,0.4515539305301645,0.3287671232876712,0.44171779141104295,0.3769633507853403,163.0,0.5767918088737202,0.5522875816993464,0.5642737896494157,306.0,0.17142857142857143,0.07692307692307693,0.10619469026548672,78.0
window_39,0.45577202436919645,0.42795202824528666,0.5319926873857403,0.41237113402061853,0.23529411764705882,0.299625468164794,170.0,0.5577777777777778,0.8537414965986394,0.6747311827956989,294.0,0.0,0.0,0.0,83.0
window_40,0.48780158249272076,0.49314736708174595,0.4844606946983547,0.41208791208791207,0.46875,0.43859649122807015,160.0,0.6280701754385964,0.5830618892508144,0.6047297297297297,307.0,0.1375,0.1375,0.1375,80.0
window_41,0.453891988919014,0.46017855573439725,0.5137111517367459,0.4426229508196721,0.16666666666666666,0.242152466367713,162.0,0.5633484162895928,0.8217821782178217,0.6684563758389261,303.0,0.11363636363636363,0.06097560975609756,0.07936507936507936,82.0
window_42,0.48805158473204274,0.5136954477098578,0.583180987202925,0.5142857142857142,0.11612903225806452,0.18947368421052632,155.0,0.604040404040404,0.9373040752351097,0.7346437346437347,319.0,0.11764705882352941,0.0273972602739726,0.044444444444444446,73.0
window_43,0.4872564778544838,0.4693493394331823,0.5338208409506399,0.41379310344827586,0.2962962962962963,0.34532374100719426,162.0,0.5935960591133005,0.7953795379537953,0.6798307475317349,303.0,0.12,0.036585365853658534,0.056074766355140186,82.0
window_44,0.4551973512004582,0.48060531378398363,0.5575868372943327,0.48,0.07947019867549669,0.13636363636363635,151.0,0.5855130784708249,0.9267515923566879,0.717632552404439,314.0,0.08,0.024390243902439025,0.037383177570093455,82.0
window_45,0.4910925601432238,0.48286526620383347,0.506398537477148,0.37423312883435583,0.38125,0.37770897832817335,160.0,0.6071428571428571,0.6777408637873754,0.640502354788069,301.0,0.25,0.13953488372093023,0.1791044776119403,86.0
window_46,0.40643392489138547,0.4465347510686824,0.4296160877513711,0.3413897280966767,0.6766467065868264,0.4538152610441767,167.0,0.6060606060606061,0.40955631399317405,0.48879837067209775,293.0,0.1111111111111111,0.022988505747126436,0.0380952380952381,87.0
window_47,0.4505476532298589,0.4651693956526884,0.5393053016453382,0.4528301886792453,0.14457831325301204,0.2191780821917808,166.0,0.5654008438818565,0.9115646258503401,0.6979166666666666,294.0,0.15,0.034482758620689655,0.056074766355140186,87.0
window_48,0.4606925393860986,0.43034500238199724,0.49725776965265084,0.33170731707317075,0.44155844155844154,0.3788300835654596,154.0,0.5964912280701754,0.6601941747572816,0.6267281105990783,309.0,0.0,0.0,0.0,84.0
